test;size;step;type;bubble;binaryInsert;radix;selection;heap;counting;merge;quick
test_50_0;50;50;0;10800;5300;12000;5700;5500;1200;6200;3600
test_100_0;100;50;0;71600;24500;20300;31500;23000;4100;20300;12500
test_150_0;150;50;0;194800;46900;28900;64000;36600;5900;30800;19400
test_200_0;200;50;0;277900;69400;33800;117000;49700;7800;39800;24400
test_250_0;250;50;0;448000;97500;40200;163700;63900;9500;47600;29900
test_300_0;300;50;0;634900;140400;37100;231800;81000;11300;59100;37000
test_100_0;100;1000;0;69500;22600;19900;30700;21700;3900;18400;11500
test_1100_0;1100;1000;0;9345900;1524200;139500;2963200;344000;41800;230800;152300
test_2100_0;2100;1000;0;35599800;4507800;299000;9810700;630500;47000;381400;267500
test_3100_0;3100;1000;0;54901400;6274700;276800;12905900;582500;62800;369200;259900
test_4100_0;4100;1000;0;64904800;8727500;300200;18713700;675300;71300;418500;301200
test_50_1;50;50;1;15000;5200;8300;5700;5500;23000;4400;3400
test_100_1;100;50;1;96200;33000;27000;41200;30600;60600;25800;19400
test_150_1;150;50;1;211600;61300;33200;83100;48200;64200;37800;29600
test_200_1;200;50;1;383900;97300;40300;139400;67000;65700;50600;40600
test_250_1;250;50;1;591300;146700;46100;211300;88900;65300;65800;50600
test_300_1;300;50;1;877000;195800;46600;299100;110000;68400;78200;68300
test_100_1;100;1000;1;97500;31100;22700;41000;29800;59100;23700;18100
test_1100_1;1100;1000;1;12283900;2255900;171000;4037600;531200;109500;358300;279400
test_2100_1;2100;1000;1;32191100;3612400;148300;6171100;506600;72800;316600;263700
test_3100_1;3100;1000;1;43614900;6541900;180400;10997200;645800;77600;396300;329000
test_4100_1;4100;1000;1;68001600;10929700;230000;18888200;889400;95700;532000;446400
test_50_2;50;50;2;3600;1500;7400;3600;5200;2100;3500;2100
test_100_2;100;50;2;13700;3100;10500;13000;11600;3400;6400;4000
test_150_2;150;50;2;30700;5400;11200;28500;18400;4200;10400;6800
test_200_2;200;50;2;54200;7300;15900;49500;25200;5200;13400;9600
test_250_2;250;50;2;88400;10700;15100;73800;33300;6000;16700;9000
test_300_2;300;50;2;126900;13500;17100;103000;41600;6900;20600;11100
test_100_2;100;1000;2;12800;2900;10600;12300;11500;2300;6200;3100
test_1100_2;1100;1000;2;1503000;44500;65700;1357400;180200;39800;81900;45000
test_2100_2;2100;1000;2;13780900;293000;305700;12973700;1033700;154700;437200;203000
test_3100_2;3100;1000;2;13805400;209100;204000;12347900;674500;85300;278700;102700
test_4100_2;4100;1000;2;22877300;236100;241500;19077000;794800;94200;320900;142800
test_50_3;50;50;3;11600;4600;7400;4200;4300;1200;3400;1200
test_100_3;100;50;3;46000;15100;9200;13800;10000;2400;5900;2400
test_150_3;150;50;3;101600;31900;13300;29200;16400;3500;9600;4200
test_200_3;200;50;3;180400;54900;16000;50500;23000;4700;12100;5000
test_250_3;250;50;3;283500;83600;15200;77500;29700;5800;15500;6500
test_300_3;300;50;3;405500;119000;17000;110300;36900;6900;18900;7800
test_100_3;100;1000;3;45400;14900;10600;13800;9900;2400;5900;2400
test_1100_3;1100;1000;3;14038900;4035800;188600;3718200;442700;66200;210600;82000
test_2100_3;2100;1000;3;35948200;5993300;166100;5790000;431100;39800;178000;66900
test_3100_3;3100;1000;3;44233700;11836300;175000;11203600;548400;74500;265400;95900
test_4100_3;4100;1000;3;139428100;30927900;328300;26306900;947400;118500;407300;149700
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;11300;5100;9500;5700;6200;1000;6900;3800
test_100_0;100;50;0;101900;34500;29600;45200;32600;5700;29800;17800
test_150_0;150;50;0;232100;65100;34600;91700;50700;8300;42500;26700
test_200_0;200;50;0;397400;97500;41300;155100;71800;13200;76300;37700
